rate
1334.17
2096.13
2272.08
4788.57
1334.17
679.56
1132.6
4788.57
4788.35
4788.35
680.92
1134.86
4788.35
4788.35
4788.35
680.77
1134.62
4788.35
4788.35
4788.35
674.03
1123.38
4788.35
395.19
620.25
652.55
344.05
4777.3
298.54
933.4
1555.66
852.02
331.59
298.54
4777.3
395.19
620.25
652.55
344.05
4777.3
298.54
933.4
1555.66
852.02
331.59
298.54
4777.3
1446.16
2204.86
2390.53
2441.38
4593.94
1446.16
577.3
962.16
2348.54
4593.94
1446.16
2271.0
2390.53
2441.38
4593.94
1446.16
1784.59
2974.32
2348.54
4593.94
1446.16
2204.86
2390.53
2441.38
4593.94
1446.16
1212.37
2020.62
2435.43
4593.94
1446.16
2204.86
2390.53
2441.38
4593.94
1446.16
2777.86
4629.77
2435.43
4593.94
2265.5
0.0
3857.14
3638.35
4593.94
1697.32
2828.87
3629.85
4593.94
2265.5
0.0
3857.14
3638.35
4593.94
3891.15
6485.25
3629.85
4593.94
1334.17
2206.39
2076.9
4506.38
1334.17
2677.84
4463.06
4506.38
2000.03
1334.17
2206.39
2076.9
4506.38
1334.17
1779.94
2966.56
4506.38
2000.03
1334.17
2206.39
2076.9
4506.38
1334.17
2382.02
3970.03
4506.38
2000.03
1334.17
2206.39
2076.9
4506.38
1334.17
3366.53
5610.88
4506.38
2000.03
1334.17
1335.66
2206.39
2076.9
3710.74
1334.17
1420.25
2367.09
3710.74
2000.12
1887.6
1334.17
1552.92
2206.39
2076.9
3710.74
1334.17
1651.27
2752.12
3710.74
2000.12
1887.6
1334.17
1181.9
2206.39
2076.9
3710.74
1181.9
1256.76
2094.6
3710.74
2000.12
1887.6
1334.17
1322.53
2206.39
2076.9
3710.74
1322.53
1406.3
2343.83
3710.74
2000.12
1887.6
1334.17
1322.53
2206.39
2076.9
3710.74
1322.53
1406.3
2343.83
3710.74
2000.12
1887.6
2205.9
2205.9
2205.9
4022.11
6703.52
2686.21
3283.15
3283.15
2686.21
3129.57
5215.95
2633.54
2633.54
2633.54
2840.93
4734.88
2659.43
2659.43
2659.43
3098.36
5163.94
1680.6
1680.6
1680.6
1957.99
3263.31
2080.55
2080.55
2080.55
2423.95
4039.91
61.07
58.78
2291.3
3818.84
61.07
59.54
58.78
61.07
58.78
2291.3
3818.84
61.07
59.54
58.78
138.45
133.26
949.32
1582.2
138.45
134.99
133.26
138.45
133.26
949.32
1582.2
138.45
134.99
133.26
3.28
3.16
10.79
17.99
3.28
3.2
3.16
3.28
3.16
10.79
17.99
3.28
3.2
3.16
3.28
3.16
31.07
51.78
3.28
3.2
3.16
3.28
3.16
31.07
51.78
3.28
3.2
3.16
74.71
71.91
1356.1
2260.17
74.71
72.85
71.91
74.71
71.91
1356.1
2260.17
74.71
72.85
71.91
74.71
71.91
1356.1
2260.17
74.71
72.85
71.91
74.71
71.91
1356.1
2260.17
74.71
72.85
71.91
26.1
25.12
38.14
63.56
26.1
25.45
25.12
26.1
25.12
38.14
63.56
26.1
25.45
25.12
194.58
187.29
16162.18
26936.96
194.58
189.72
187.29
194.58
187.29
16162.18
26936.96
194.58
189.72
187.29
365.91
352.18
15956.65
26594.41
365.91
356.76
352.18
365.91
352.18
15956.65
26594.41
365.91
356.76
352.18
1470.85
1415.69
2669.74
4449.57
1470.85
1434.08
1415.69
1470.85
1415.69
2669.74
4449.57
1470.85
1434.08
1415.69
3.95
3.8
6.85
11.42
3.95
3.85
3.8
3.95
3.8
6.85
11.42
3.95
3.85
3.8
3.95
3.8
13.7
22.84
3.95
3.85
3.8
3.95
3.8
13.7
22.84
3.95
3.85
3.8
8.74
8.41
22.25
37.09
8.74
8.52
8.41
8.74
8.41
22.25
37.09
8.74
8.52
8.41
8.74
8.41
22.3
37.16
8.74
8.52
8.41
8.74
8.41
22.3
37.16
8.74
8.52
8.41
79.69
76.7
143.38
238.96
79.69
77.7
76.7
79.69
76.7
143.38
238.96
79.69
77.7
76.7
59.83
57.59
10890.66
18151.1
59.83
58.34
57.59
59.83
57.59
10890.66
18151.1
59.83
58.34
57.59
88.95
85.62
971.79
1619.65
88.95
86.73
85.62
88.95
85.62
971.79
1619.65
88.95
86.73
85.62
88.95
85.62
971.78
1619.64
88.95
86.73
85.62
88.95
85.62
971.78
1619.64
88.95
86.73
85.62
0.87
0.84
880.1
1466.83
0.87
0.85
0.84
0.87
0.84
880.1
1466.83
0.87
0.85
0.84
79.69
76.7
77.53
129.21
79.69
77.7
76.7
79.69
76.7
77.53
129.21
79.69
77.7
76.7
